1,2048,2048,0.163,0.136,0.135,0.140,0.133,0.143,0.132,0.134,0.140,0.138,0.134,
2,4096,4096,0.341,0.320,0.337,0.317,0.336,0.342,0.337,0.343,0.327,0.338,0.329,
4,8192,8192,1.086,1.105,1.090,1.079,1.098,1.064,1.115,1.104,1.144,1.116,1.119,
8,16384,16384,4.740,5.150,4.480,4.530,4.803,4.541,5.277,5.210,4.528,5.119,4.536,
